L,H,feature_set,seed,rmse_mean,mae_mean,windows
21,1,full,0,0.023748092334718307,0.01625462546642672,2
21,1,full,1,0.023516989091763932,0.015986854163894858,2
21,1,full,2,0.02398006602305354,0.016446309572561327,2
21,1,no_illiquidity,0,0.023595398697037674,0.016050711821833007,2
21,1,no_illiquidity,1,0.023557271646027146,0.016051581298453712,2
21,1,no_illiquidity,2,0.023411576391939404,0.015839572210013905,2
21,1,returns_only,0,0.02343294909510316,0.015922256503833564,2
21,1,returns_only,1,0.023641262835577017,0.01603098203999627,2
21,1,returns_only,2,0.023467668214868127,0.01602813507691767,2
21,5,full,0,0.05339719141451161,0.03765598140336349,2
21,5,full,1,0.05328729927782694,0.037318320147357,2
21,5,full,2,0.053342743239024465,0.03733281036903005,2
21,5,no_illiquidity,0,0.05355279468854525,0.037193371522151575,2
21,5,no_illiquidity,1,0.05373555581107291,0.037315601650344664,2
21,5,no_illiquidity,2,0.05486534173616432,0.03826186679757161,2
21,5,returns_only,0,0.05338587767087548,0.03701886356962519,2
21,5,returns_only,1,0.053528065045956426,0.037188917440769256,2
21,5,returns_only,2,0.05339822217305578,0.037102947377005445,2
