L,H,window_id,best_epoch,best_val_loss,selected_hidden_dim,selected_lr,selected_num_steps
10,1,0,11,inf,128,0.001,20
10,1,1,11,inf,128,0.001,20
10,1,2,11,inf,128,0.001,20
10,1,3,11,inf,64,0.001,20
10,1,4,11,inf,64,0.0005,20
10,5,0,11,inf,64,0.0005,20
10,5,1,11,inf,128,0.001,20
10,5,2,11,inf,64,0.001,20
10,5,3,11,inf,64,0.001,20
10,5,4,11,inf,64,0.001,20
21,1,0,11,inf,128,0.001,20
21,1,1,11,inf,64,0.001,20
21,1,2,11,inf,64,0.001,20
21,1,3,11,inf,64,0.001,20
21,1,4,11,inf,64,0.0005,20
21,5,0,11,inf,64,0.0005,20
21,5,1,11,inf,128,0.001,20
21,5,2,11,inf,64,0.001,20
21,5,3,11,inf,64,0.0005,20
21,5,4,11,inf,64,0.001,20
42,1,0,11,inf,64,0.001,20
42,1,1,11,inf,128,0.001,20
42,1,2,11,inf,64,0.0005,20
42,1,3,11,inf,64,0.001,20
42,1,4,11,inf,128,0.001,20
42,5,0,11,inf,64,0.0005,20
42,5,1,11,inf,128,0.001,20
42,5,2,11,inf,64,0.001,20
42,5,3,11,inf,64,0.0005,20
42,5,4,11,inf,64,0.001,20
