L,H,window_id,train_last_origin,val_first_origin,horizon,no_target_overlap
10,1,0,1248,1249,1,True
10,1,1,1434,1435,1,True
10,1,2,1620,1621,1,True
10,1,3,1806,1807,1,True
10,1,4,1993,1994,1,True
10,5,0,1246,1251,5,True
10,5,1,1430,1435,5,True
10,5,2,1615,1620,5,True
10,5,3,1800,1805,5,True
10,5,4,1985,1990,5,True
21,1,0,1253,1254,1,True
21,1,1,1438,1439,1,True
21,1,2,1623,1624,1,True
21,1,3,1808,1809,1,True
21,1,4,1994,1995,1,True
21,5,0,1251,1256,5,True
21,5,1,1435,1440,5,True
21,5,2,1619,1624,5,True
21,5,3,1803,1808,5,True
21,5,4,1987,1992,5,True
42,1,0,1263,1264,1,True
42,1,1,1446,1447,1,True
42,1,2,1630,1631,1,True
42,1,3,1813,1814,1,True
42,1,4,1997,1998,1,True
42,5,0,1260,1265,5,True
42,5,1,1442,1447,5,True
42,5,2,1624,1629,5,True
42,5,3,1806,1811,5,True
42,5,4,1989,1994,5,True
